dataset_id,indicator_id,academic_year,academic_year_start,academic_year_end,university_area,sex,first_year_enrolments,unit,source,notes
university_mur_ustat,university_first_year_enrolments,2016/2017,2016,2017,Bergamo,Male,1382,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2016/2017,2016,2017,Bergamo,Total,3637,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Altro Italia,Female,291928,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Altro Italia,Male,238875,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Altro Italia,Total,530803,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Altro Lombardia,Female,26489,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Altro Lombardia,Male,22658,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Altro Lombardia,Total,49147,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Bergamo,Female,2447,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
university_mur_ustat,university_first_year_enrolments,2017/2018,2017,2018,Bergamo,Male,1507,count,MUR USTAT / dataset immatricolati fornito,"First-year university entrants by academic year, university/geographical category and sex. Sex Total computed from Female and Male counts."
